label,Turbidity,pH,Rainfall,Nitrogen,Phosphorus,Potassium,Humidity
Stevia,1.01,6.08,629.54,1.28,0.93,1.46,57.55
Basil,2.21,5.64,1070.43,1.91,0.66,1.74,60.32
Mint,2.28,7.3,1037.45,2.73,0.66,1.19,74.14
Dill,3.15,7.05,681.61,2.1,0.96,1.27,69.31
Stevia,0.85,5.5,793.6,1.67,0.87,1.47,52.82
Snake plant (Sansevieria trifasciata),3.71,5.62,296.58,2.66,1.45,1.29,43.1
Lavender,2.1,7.15,358.28,1.73,0.77,0.72,53.87
Lemon verbena,2.2,6.29,561.51,1.92,0.61,1.74,60.63
Stevia,0.61,6.17,466.21,1.91,0.78,1.45,59.61
Rosemary,3.32,6.56,561.62,2.59,0.87,1.64,73.91
Geranium,2.73,6.68,329.48,2.57,1.19,1.91,58.14
Sunflower,1.44,6.97,732.94,2.51,1.15,1.17,72.59
Geranium,0.79,5.85,620.51,1.75,0.98,1.1,61.85
Rosemary,2.35,6.69,879.66,2.7,0.63,1.36,53.92
Crocus,4.91,5.64,791.65,2.58,0.24,0.68,33.91
Marjoram,1.58,6.29,601.84,1.62,0.69,1.99,71.82
Daffodil,2.96,5.91,543.67,2.5,0.16,1.98,79.31
Spider plant (Chlorophytum comosum),0.3,5.94,196.01,1.36,1.35,1.89,71.89
Snapdragon,3.09,6.74,610.12,2.2,1.06,1.66,68.04
Spider plant (Chlorophytum comosum),4.19,7.44,674.52,1.88,0.2,0.63,69.18
Peace lily (Spathiphyllum),4.02,5.92,676.4,2.39,0.92,0.75,30.39
Nasturtium,2.83,7.23,853.39,2.39,0.56,1.57,65.96
Lemon balm,3.66,6.17,851.22,1.8,0.86,1.43,64.12
Spider plant (Chlorophytum comosum),0.65,6.49,243.83,1.46,0.19,1.73,35.7
Daffodil,1.75,5.61,104.84,0.68,0.77,2.09,72.23
Aloe vera,2.44,7.49,374.89,2.86,1.05,2.3,50.4
Daffodil,0.39,7.2,514.22,0.89,0.84,1.28,38.25
Crocus,4.2,6.31,337.67,0.74,0.4,2.19,77.95
Rose,1.59,6.34,689.06,0.68,0.42,0.81,67.82
Dill,1.79,7.46,385.52,1.87,0.68,1.81,48.94
Morning glory,0.89,6.96,270.98,1.81,0.69,1.85,69.3
Morning glory,2.86,6.65,505.48,1.34,0.66,1.47,52.45
Daffodil,1.81,6.66,284.81,2.38,0.61,2.4,79.01
Tomato,4.19,6.5,912.67,2.53,0.93,2.41,59.72
Peppermint,3.45,6.64,947.3,1.66,0.73,2.26,72.79
Snake plant (Sansevieria trifasciata),1.07,6.45,128.31,2.67,0.91,1.64,58.42
Spearmint,4.72,6.17,580.53,1.8,0.96,1.59,65.65
African violet (Saintpaulia),0.47,6.17,687.95,1.84,0.45,1.26,38.16
Lavender,3.23,7.4,262.19,2.02,0.82,0.71,63.13
Thyme,1.88,7.11,307.16,2.5,0.52,1.06,67.37
Rose,0.2,5.51,161.09,1.8,0.51,2.46,76.71
Sweet pea,1.05,5.63,934.92,1.86,0.66,1.59,79.78
Jade plant (Crassula ovata),0.46,6.29,546.23,1.32,0.63,2.1,56.26
Pothos (Epipremnum aureum),4.66,6.62,106.16,0.8,1.12,1.91,68.8
Coriander (Cilantro),0.53,6.5,953.25,2.57,0.84,1.59,63.93
Zinnia,1.38,7.2,564.04,2.93,0.51,1.62,74.71
Stevia,2.61,6.19,373.17,1.72,0.95,1.64,66.41
Peace lily (Spathiphyllum),2.31,5.62,639.79,2.9,0.22,0.82,46.02
Snake plant (Sansevieria trifasciata),3.8,6.09,714.39,2.87,0.27,2.47,73.76
Bay leaf (Bay laurel),0.96,6.44,617.54,1.76,0.63,1.31,41.15
Aloe vera,4.08,5.97,167.26,2.79,0.84,0.96,46.35
Orchid,3.67,7.11,128.66,1.26,0.26,0.77,70.63
Oregano,2.37,6.45,263.16,1.17,1.09,1.63,68.99
Tomato,2.44,5.84,242.86,2.59,1.42,2.32,73.67
Thyme,3.72,6.71,585.63,2.99,0.87,1.58,71.59
Marigold,2.15,7.95,695.66,2.06,1.15,1.36,55.76
Nasturtium,2.2,6.01,515.48,2.11,1.14,1.53,63.85
Parsley,3.3,6.3,679.71,2.47,1.11,2.35,56.57
Lemon balm,0.72,6.67,375.16,1.89,0.66,2.37,52.13
Lavender,3.76,6.74,298.59,1.59,0.92,1.7,47.53
Peppermint,1.97,6.8,425.53,2.36,1.1,2.06,61.97
Basil,1.07,6.97,1498.49,1.45,1.19,1.88,71.74
Oregano,3.25,7.5,220.95,2.47,0.59,1.81,50.89
Lavender,0.96,7.25,400.28,1.18,0.66,1.09,53.55
Fennel,3.36,6.64,290.01,2.94,0.87,1.57,57.21
Spearmint,2.87,6.85,1179.65,1.22,1.19,2.1,80.94
Basil,0.94,5.85,1348.06,1.75,0.66,1.38,84.28
Aloe vera,0.87,6.54,649.0,2.05,0.74,1.67,45.51
Peace lily (Spathiphyllum),4.52,7.17,791.76,2.06,0.21,2.25,57.51
Bay leaf (Bay laurel),2.92,7.62,408.41,1.04,1.02,1.14,67.72
Lemon verbena,2.6,7.21,559.16,1.3,0.91,1.59,67.46
Thyme,1.16,6.1,618.25,2.47,0.53,1.23,68.0
Tomato,2.61,5.91,610.8,2.63,1.47,1.22,64.71
Crocus,1.31,5.97,397.2,1.63,1.03,1.12,32.24
Zinnia,1.27,6.3,458.52,2.33,0.52,2.0,58.02
Fennel,3.94,6.13,602.65,1.64,0.76,1.62,59.27
Pothos (Epipremnum aureum),3.69,5.92,338.77,0.54,0.91,2.15,34.49
African violet (Saintpaulia),3.27,7.45,479.24,2.5,0.11,0.81,37.91
Rosemary,3.46,6.68,612.11,1.97,0.88,1.49,56.21
Crocus,1.79,6.34,110.21,0.69,1.19,0.93,51.63
Sunflower,1.13,6.76,991.19,1.91,0.57,1.57,63.0
Crocus,4.64,5.87,766.34,2.4,1.36,0.61,70.31
Sage,3.23,7.18,485.55,1.36,1.0,2.0,41.55
Tulip,3.07,6.98,479.99,1.36,0.78,1.34,45.14
Pansy,1.2,6.71,815.66,1.14,0.91,1.29,56.8
Dill,1.14,5.76,649.66,1.23,0.86,1.81,64.0
Rosemary,0.55,7.79,600.34,2.91,0.9,1.69,69.19
Marigold,2.48,7.62,227.36,1.78,1.16,1.72,42.48
Tulip,3.73,7.19,602.12,1.22,0.98,2.01,79.32
Rosemary,0.95,7.71,543.05,2.26,1.15,1.28,68.13
Spider plant (Chlorophytum comosum),2.88,6.19,611.48,1.03,1.08,1.66,45.78
Jade plant (Crassula ovata),4.45,6.58,238.86,2.66,1.35,2.5,44.65
Chives,1.26,7.27,648.6,3.25,0.86,2.43,73.25
Snake plant (Sansevieria trifasciata),0.32,6.34,623.75,1.4,0.3,1.43,67.99
Chamomile,2.74,6.5,217.49,1.85,1.1,1.99,60.87
Impatiens,2.64,6.21,862.97,2.53,0.67,1.2,52.43
Daffodil,1.28,6.7,339.43,1.87,0.98,1.89,47.56
Chives,2.49,7.49,827.03,2.53,0.73,1.93,59.19
Snapdragon,3.29,7.14,671.89,1.51,0.69,1.07,63.35
Dill,1.53,7.23,775.51,1.74,0.7,1.28,67.22
Geranium,1.06,6.28,209.98,1.28,1.04,1.19,67.02
Stevia,2.47,6.76,700.64,2.44,0.6,1.16,70.13
Impatiens,0.8,6.11,324.61,1.77,1.09,1.69,69.25
Nasturtium,2.92,7.0,434.66,1.93,0.84,1.6,74.3
Stevia,1.72,6.97,447.23,1.33,0.72,1.1,50.21
Marjoram,2.29,5.93,410.59,1.38,0.91,1.96,70.9
Chives,3.23,6.81,995.33,1.69,0.96,2.41,76.43
Tarragon,1.86,6.65,690.14,1.67,0.68,1.1,53.94
Chives,0.68,7.08,731.68,2.04,0.9,1.01,60.52
Petunia,2.44,6.27,971.36,2.34,1.15,1.83,76.92
Snapdragon,1.24,7.63,329.38,1.63,1.11,1.61,51.72
Dill,3.27,7.09,308.8,1.07,0.78,1.61,68.1
Pothos (Epipremnum aureum),4.26,7.25,561.54,0.71,1.27,2.1,63.32
Peace lily (Spathiphyllum),1.12,6.84,389.94,1.48,1.5,1.56,71.65
African violet (Saintpaulia),2.08,6.81,601.2,2.29,0.56,1.98,74.03
Lily,4.87,6.51,102.59,0.82,0.73,1.45,78.54
Fennel,0.71,6.27,276.08,2.09,0.67,1.48,64.26
Marjoram,1.31,6.52,919.38,1.08,1.17,1.93,69.77
Chamomile,1.1,5.73,304.9,2.17,1.05,1.77,69.52
Marjoram,1.43,6.05,622.12,2.76,1.12,1.84,57.35
Sweet pea,1.85,5.92,439.23,1.72,1.03,1.28,75.65
Crocus,1.37,6.05,188.35,2.5,0.92,2.43,48.81
Coriander (Cilantro),4.16,6.15,1185.89,2.25,0.9,1.01,56.09
Snake plant (Sansevieria trifasciata),2.02,6.51,200.07,2.2,0.58,1.17,50.92
Crocus,1.73,6.27,673.13,2.71,0.81,1.96,44.37
Stevia,2.28,6.04,930.23,1.39,0.63,1.77,53.25
Orchid,2.7,6.02,199.8,0.87,0.86,2.05,34.15
Tomato,4.06,6.63,895.58,2.75,0.74,1.07,70.29
Lavender cotton (Santolina),1.88,7.08,791.42,1.02,0.72,1.92,57.1
Nasturtium,1.49,7.41,583.47,1.49,1.02,1.16,67.69
Snapdragon,3.84,7.77,700.17,1.69,0.75,1.05,40.01
Tarragon,1.97,7.72,607.6,1.23,0.98,1.31,49.94
Peppermint,2.68,7.3,842.03,1.63,0.61,1.08,71.16
Parsley,0.59,6.13,502.02,2.32,1.18,1.38,73.77
Thyme,2.06,7.96,835.43,1.84,0.84,1.0,57.64
Dill,3.12,6.16,698.88,2.43,0.8,1.96,48.56
Cilantro,3.4,7.71,899.31,1.56,0.51,2.07,75.3
Spider plant (Chlorophytum comosum),2.82,7.09,207.34,1.85,0.11,1.78,62.92
Lavender cotton (Santolina),1.25,6.59,211.93,1.38,1.19,1.01,63.78
Impatiens,2.05,7.0,251.78,2.96,0.66,1.48,73.22
Sage,0.85,6.55,482.04,1.78,1.0,1.74,55.39
Snake plant (Sansevieria trifasciata),3.58,6.36,200.23,1.21,1.33,2.05,38.97
Pothos (Epipremnum aureum),2.21,7.28,267.01,1.78,0.44,1.49,34.57
Sunflower,2.32,6.95,380.95,1.28,0.54,1.23,50.53
Oregano,2.45,7.77,470.65,1.8,0.73,1.83,57.57
Morning glory,2.12,7.17,577.41,2.53,0.65,1.24,53.05
Pansy,0.53,6.81,912.63,1.59,0.94,1.07,72.24
Orchid,1.1,6.85,600.67,2.32,0.34,0.65,42.49
Crocus,0.28,5.51,541.91,0.57,0.25,2.44,48.42
Calendula (Pot marigold),1.04,6.23,617.33,1.64,0.94,1.97,62.52
Lavender,3.67,7.15,335.06,2.35,0.98,0.67,62.51
African violet (Saintpaulia),2.7,6.7,411.53,1.8,0.46,0.51,50.4
Spider plant (Chlorophytum comosum),2.32,6.41,776.3,1.04,1.44,0.88,39.99
Dill,1.49,5.68,578.87,1.61,0.61,1.57,67.59
Lily,4.98,5.58,521.74,2.48,0.83,0.93,67.18
Oregano,0.58,7.28,668.59,1.03,1.31,1.26,47.54
Sunflower,1.12,6.37,905.89,1.23,0.83,1.25,53.57
Lavender,3.85,7.47,400.94,1.95,0.92,1.21,41.48
Sage,2.99,7.94,737.13,2.33,0.97,1.37,48.74
Cilantro,4.23,7.4,971.45,2.02,1.0,1.95,71.75
Rose,1.86,6.08,447.66,1.9,0.86,1.32,73.37
Sage,1.58,6.17,597.94,1.41,0.56,1.0,42.9
Parsley,2.01,6.25,919.17,2.78,0.95,1.88,72.16
Calendula (Pot marigold),1.96,6.19,426.65,1.14,0.85,1.39,73.89
Snake plant (Sansevieria trifasciata),1.42,6.41,195.39,2.73,0.79,2.38,72.19
Snake plant (Sansevieria trifasciata),2.07,6.52,192.77,0.7,0.97,2.45,32.8
Oregano,2.53,7.57,290.78,2.0,1.41,1.46,40.97
Tomato,2.15,6.4,886.13,1.76,0.59,2.4,53.81
Tulip,1.7,6.45,780.68,1.1,0.82,1.12,62.11
Cilantro,0.83,6.99,448.28,2.39,0.61,1.34,68.45
Pothos (Epipremnum aureum),1.3,6.34,616.79,0.65,0.26,1.44,40.91
Coriander (Cilantro),1.93,6.67,551.59,1.54,0.79,1.35,52.7
Chives,2.01,6.23,1093.96,2.38,0.99,2.22,56.9
Dill,1.09,6.09,389.59,1.0,0.62,1.31,43.05
Marigold,2.64,7.17,736.99,2.02,1.03,1.17,43.04
Fennel,1.8,6.57,630.97,1.87,0.7,1.69,42.95
Sweet pea,2.99,6.13,955.91,1.18,0.71,1.26,59.25
Spearmint,4.61,7.06,853.64,1.23,0.54,1.99,82.09
Calendula (Pot marigold),2.83,6.58,653.09,2.26,0.94,1.76,70.47
Sunflower,1.77,5.85,791.68,1.71,0.58,1.86,59.86
Lily,1.71,6.96,783.87,1.35,1.36,0.72,33.56
Crocus,0.11,6.51,695.65,0.69,1.22,2.48,46.76
Spider plant (Chlorophytum comosum),2.27,7.23,397.95,1.5,1.49,1.8,76.36
Lavender cotton (Santolina),1.37,6.16,735.75,1.35,1.15,1.8,68.87
Dill,0.61,5.89,269.78,1.93,0.65,1.51,62.01
Petunia,3.49,6.49,307.9,2.03,0.55,1.85,53.36
Snapdragon,2.0,7.07,781.64,1.15,0.89,1.44,46.24
Snapdragon,2.6,7.82,371.19,1.84,0.81,1.04,67.62
Mint,2.18,6.58,868.99,2.05,0.55,1.18,82.83
Dill,2.98,7.3,501.94,1.27,0.82,1.89,56.24
Basil,1.53,5.73,1425.66,2.3,1.21,1.84,77.7
Aloe vera,0.27,5.77,699.17,2.23,0.42,1.79,39.47
Tomato,1.41,6.51,674.51,2.26,1.17,2.3,69.31
Sage,0.81,7.49,309.82,2.22,0.68,1.78,63.99
Marjoram,3.22,6.77,287.41,2.59,0.99,1.44,50.49
Calendula (Pot marigold),1.44,7.01,629.45,1.84,0.78,1.11,50.92
Jade plant (Crassula ovata),3.54,5.75,195.88,1.75,0.17,1.57,60.62
Lavender cotton (Santolina),1.32,6.26,322.71,2.01,0.69,1.46,41.11
Mint,2.23,6.37,1065.15,2.6,0.75,2.19,88.47
Parsley,0.59,5.61,971.35,1.81,1.11,1.65,72.04
Pothos (Epipremnum aureum),1.08,6.42,541.05,2.59,0.99,1.34,75.09
Spider plant (Chlorophytum comosum),1.16,6.04,790.79,2.48,0.93,0.65,60.67
Marigold,2.3,7.62,210.72,1.06,0.95,1.69,57.32
Chives,1.41,6.21,1197.4,3.18,1.09,1.32,80.64
Morning glory,2.99,6.42,677.56,2.47,1.13,1.5,78.93
Lily,4.33,6.18,605.09,2.78,1.1,1.0,55.06
Peace lily (Spathiphyllum),4.02,6.88,563.57,1.55,0.91,0.84,63.8
Dill,3.3,6.62,743.34,2.08,0.95,1.76,50.55
Petunia,2.47,6.41,286.89,2.38,1.05,1.7,60.09
Lemon verbena,1.61,6.42,1141.36,1.05,0.96,1.39,61.54
Basil,3.04,6.28,679.22,3.28,0.63,1.03,64.38
Crocus,0.64,7.16,323.77,2.49,1.03,1.32,39.86
Sage,0.86,7.34,514.37,1.6,0.93,1.14,46.05
Zinnia,2.07,7.38,609.88,1.98,0.88,1.8,79.56
Morning glory,3.46,6.31,406.41,2.18,0.91,1.5,60.58
Daffodil,4.64,6.16,517.14,0.79,0.28,0.72,71.67
Iris,1.78,5.59,262.35,2.98,1.15,2.21,36.42
Mint,4.33,7.42,749.41,2.54,1.06,1.66,79.13
Iris,4.02,5.76,193.47,1.85,1.49,0.83,48.17
Petunia,2.95,5.59,642.5,2.32,0.96,1.87,71.68
Cilantro,2.37,6.52,1027.64,2.16,1.06,1.59,67.69
Lavender,0.93,6.89,524.1,1.74,0.86,1.62,57.47
Pansy,2.84,6.42,756.92,1.94,0.64,1.92,65.25
Marjoram,3.24,5.76,330.63,2.71,0.71,1.81,72.5
Spearmint,3.64,6.84,436.22,1.5,1.13,1.33,60.0
Tulip,4.45,5.88,264.84,1.36,0.16,2.27,30.06
Bay leaf (Bay laurel),1.69,7.27,299.13,1.61,0.76,1.77,41.68
Mint,0.9,6.94,394.45,2.06,1.5,1.61,78.57
Chamomile,1.51,6.33,738.55,1.12,0.83,1.41,68.51
Lily,3.3,5.63,258.35,0.94,0.39,2.1,46.13
African violet (Saintpaulia),0.6,7.42,732.87,2.34,0.74,1.93,47.72
Tomato,0.93,6.02,808.67,2.21,0.5,2.45,51.62
Orchid,4.79,7.06,399.48,1.87,0.34,0.76,47.59
Nasturtium,2.11,5.89,617.58,1.17,0.63,1.73,65.34
African violet (Saintpaulia),1.28,6.91,335.8,2.64,0.96,0.65,39.75
Mint,2.07,6.28,538.3,2.33,0.8,1.99,74.17
Fennel,2.14,7.63,459.66,1.64,0.61,1.44,47.85
Marjoram,2.7,6.64,631.17,1.81,1.02,1.5,52.61
Stevia,1.46,6.87,773.63,2.34,0.99,1.81,67.49
Nasturtium,1.59,6.67,821.29,1.4,0.89,1.62,71.51
Lily,2.74,6.84,548.97,2.78,0.68,0.53,61.84
Cilantro,2.92,7.75,1199.39,2.66,0.74,1.11,76.92
Tomato,1.97,5.76,833.38,2.1,1.04,1.95,50.7
Lemon verbena,2.02,6.77,801.13,1.38,0.71,1.17,60.44
Stevia,0.73,6.93,675.69,1.88,0.79,1.14,60.46
Sweet pea,1.15,6.65,588.74,1.91,0.61,1.78,69.35
Bay leaf (Bay laurel),1.42,7.61,660.33,2.21,1.09,1.86,56.56
Zinnia,1.74,6.17,491.34,2.44,0.77,1.82,76.11
Lavender,0.53,6.64,515.03,1.25,0.9,1.37,41.52
Marjoram,3.3,6.46,252.69,2.16,0.71,1.22,73.46
Daffodil,0.34,6.2,337.39,2.02,0.26,1.47,51.97
Chives,1.08,6.24,349.81,2.43,1.01,2.02,50.67
Orchid,0.97,6.43,654.3,1.5,0.5,2.0,54.15
Coriander (Cilantro),4.03,7.37,673.39,2.13,0.52,2.06,51.11
Marjoram,3.35,5.65,306.82,2.45,1.02,1.39,67.67
Sage,2.46,6.9,249.72,1.05,0.53,1.62,52.9
Rose,1.27,6.22,208.72,0.62,1.1,0.69,49.48
Aloe vera,4.26,5.93,138.86,2.24,0.74,1.47,63.26
Impatiens,1.33,5.52,417.36,2.22,0.91,1.87,63.3
Lemon verbena,2.26,7.04,763.97,1.35,0.53,1.23,58.37
Dill,1.41,7.13,681.15,1.35,0.85,1.7,68.41
Thyme,3.05,6.92,994.71,2.37,0.85,1.07,56.28
Zinnia,2.08,6.32,728.92,1.06,0.67,1.63,75.99
Jade plant (Crassula ovata),3.97,6.22,279.9,1.48,0.76,2.21,70.43
Jade plant (Crassula ovata),4.94,7.39,688.74,1.42,1.4,0.68,48.71
Oregano,3.34,6.38,752.32,1.44,1.3,1.64,43.19
Pothos (Epipremnum aureum),2.01,5.94,687.11,2.47,0.92,1.83,39.67
Orchid,1.18,6.47,573.09,1.82,1.04,1.4,65.75
Jade plant (Crassula ovata),4.52,6.54,336.06,2.71,0.97,2.47,50.67
Tomato,2.45,6.82,898.2,2.98,1.21,2.44,70.97
Nasturtium,1.54,7.06,332.79,1.18,1.19,1.74,70.58
Sage,0.53,6.05,563.53,1.27,0.79,1.82,59.52
Basil,2.15,5.81,595.63,2.92,1.41,1.52,77.29
Peppermint,4.21,6.18,1173.25,2.2,0.65,1.6,75.74
Lavender,2.3,7.46,501.51,1.5,0.79,0.66,58.54
Lily,1.66,6.9,672.36,2.63,1.29,1.15,73.58
Snapdragon,2.22,6.92,763.06,1.32,0.7,1.63,53.77
Lily,4.89,5.56,230.33,2.07,0.67,1.27,74.82
Impatiens,2.9,5.78,562.47,1.58,1.06,1.64,69.19
Morning glory,1.66,5.87,314.51,1.29,1.08,1.51,53.24
Dill,2.42,6.69,457.83,1.05,0.92,1.07,63.27
Tarragon,3.35,7.62,414.3,2.39,0.6,1.28,40.44
Peace lily (Spathiphyllum),1.83,6.3,219.67,0.65,0.41,0.85,55.26
Tarragon,3.34,6.09,756.58,1.96,0.95,1.87,62.67
Tomato,0.73,6.95,983.72,1.74,0.99,1.85,53.73
Aloe vera,1.24,6.91,145.26,1.12,0.71,2.1,50.24
Tomato,0.85,6.44,850.84,2.71,0.99,1.54,56.67
Stevia,2.85,5.83,904.18,2.46,0.65,1.01,53.52
Bay leaf (Bay laurel),1.85,6.51,262.55,2.51,0.73,1.43,53.5
Crocus,2.37,7.25,340.73,2.51,0.46,1.36,42.26
Chamomile,2.18,6.2,633.19,1.98,0.76,1.28,51.3
Stevia,2.46,6.59,861.46,1.03,0.72,1.16,51.93
Peace lily (Spathiphyllum),2.17,6.95,119.44,2.15,1.35,1.49,74.84
Jade plant (Crassula ovata),0.15,6.32,146.49,1.41,1.12,2.0,36.36
Lily,3.48,6.86,624.7,2.98,0.9,0.78,62.68
Calendula (Pot marigold),0.76,7.18,436.84,1.2,0.77,1.02,52.24
Lemon verbena,0.5,6.61,735.22,1.33,0.71,1.2,67.44
Pothos (Epipremnum aureum),4.51,6.47,389.67,0.67,1.22,0.7,42.57
Geranium,2.96,6.44,663.31,1.43,1.02,1.54,75.28
Impatiens,1.58,7.48,697.9,2.84,0.62,1.13,56.73
Jade plant (Crassula ovata),4.64,6.66,411.6,1.24,0.35,1.57,53.74
Lavender,3.93,7.66,377.67,1.01,0.56,1.84,49.44
Petunia,2.05,6.55,271.05,2.29,0.54,1.17,77.01
Tomato,4.57,5.82,868.07,2.49,1.29,1.9,65.7
Marjoram,2.15,6.72,985.65,2.16,0.77,1.45,50.09
Parsley,2.66,7.06,905.35,2.73,0.95,1.18,53.12
Sweet pea,2.56,7.4,916.96,1.53,0.51,1.89,64.93
Basil,2.94,6.19,1484.2,1.53,1.42,1.9,75.58
Spider plant (Chlorophytum comosum),0.54,7.01,410.2,1.8,1.46,0.55,42.01
Chives,1.12,6.76,658.75,1.75,0.66,1.3,65.55
